"OBS_VALUE","OBS_VALUE_a","TIME_PERIOD"
1877.873,1879.79753128941,"2010-Q3"
1882.65,1884.57453128941,"2010-Q4"
1798.145,1808.46127501626,"2011-Q1"
1757.486,1757.486,"2011-Q2"
1834.884,1836.80853128941,"2011-Q3"
1916.314,1911.50267177647,"2011-Q4"
1991.295,1954.572581083,"2012-Q1"
1966.302,1966.302,"2012-Q2"
1997.644,1992.83267177647,"2012-Q3"
1992.004,1993.92853128941,"2012-Q4"
1980.551,1990.86727501626,"2013-Q1"
2008.149,2008.149,"2013-Q2"
2026.457,2028.38153128941,"2013-Q3"
2088.141,2090.06553128941,"2013-Q4"
2083.585,2093.90127501626,"2014-Q1"
2047.882,2047.882,"2014-Q2"
2065.629,2067.55353128941,"2014-Q3"
2057.517,2059.44153128941,"2014-Q4"
2050.992,2061.30827501626,"2015-Q1"
2085.417,2085.417,"2015-Q2"
2062.575,2064.49953128941,"2015-Q3"
2027.135,2029.05953128941,"2015-Q4"
1992.191,1955.468581083,"2016-Q1"
1954.25,1954.25,"2016-Q2"
1971.967,1973.89153128941,"2016-Q3"
2063.366,2058.55467177647,"2016-Q4"
2060.67,2077.72213452919,"2017-Q1"
2079.76,2079.76,"2017-Q2"
2068.397,2063.58567177647,"2017-Q3"
1995.256,1990.44467177647,"2017-Q4"
2004.458,2021.51013452919,"2018-Q1"
2159.946,2159.946,"2018-Q2"
2137.564,2132.75267177647,"2018-Q3"
2164.03,2165.95453128941,"2018-Q4"
2168.907,2179.22327501626,"2019-Q1"
2182.15,2182.15,"2019-Q2"
2161.112,2163.03653128941,"2019-Q3"
2182.28,2184.20453128941,"2019-Q4"
2205.425,2168.702581083,"2020-Q1"
1745.095,1745.095,"2020-Q2"
1845.794,1847.71853128941,"2020-Q3"
1951.684,1953.60853128941,"2020-Q4"
1991.896,2002.21227501626,"2021-Q1"
1968.139,1968.139,"2021-Q2"
2091.667,2093.59153128941,"2021-Q3"
2103.708,2105.63253128941,"2021-Q4"
2101.449,2111.76527501626,"2022-Q1"
2153.737,2153.737,"2022-Q2"
2187.884,2189.80853128941,"2022-Q3"
2173.061,2168.24967177647,"2022-Q4"
2097.048,2114.10013452919,"2023-Q1"
2121.046,2121.046,"2023-Q2"
2077.292,2072.48067177647,"2023-Q3"
2080.392,2075.58067177647,"2023-Q4"
2157.259,2120.536581083,"2024-Q1"
2156.791,2156.791,"2024-Q2"
2255.119,2257.04353128941,"2024-Q3"
2231.211,2233.13553128941,"2024-Q4"
